2026-06-12 12:07:53 | INFO     | screening_ai.eligibility_engine | Eligibility evaluated — candidate_id=C003, job_id=JOB-001, status=Rejected, score=10.00
2026-06-12 12:07:53 | INFO     | screening_ai.eligibility_engine | Eligibility evaluated — candidate_id=C004, job_id=JOB-001, status=Rejected, score=80.00
2026-06-12 12:07:53 | INFO     | screening_ai.eligibility_engine | Eligibility evaluated — candidate_id=C005, job_id=JOB-001, status=Rejected, score=80.00
2026-06-12 12:07:53 | WARNING  | screening_ai.eligibility_engine | No eligibility rules found for job_id=JOB-001 — using defaults
2026-06-12 12:07:53 | INFO     | screening_ai.eligibility_engine | Eligibility evaluated — candidate_id=C006, job_id=JOB-001, status=Eligible, score=75.00
2026-06-12 12:07:53 | INFO     | screening_ai.eligibility_engine | Eligibility evaluated — candidate_id=C007, job_id=JOB-001, status=Rejected, score=80.00
2026-06-12 12:07:53 | WARNING  | screening_ai.eligibility_engine | No eligibility rules found for job_id=JOB-001 — using defaults
2026-06-12 12:07:53 | WARNING  | screening_ai.eligibility_engine | ATS score not found — candidate_id=C008, job_id=JOB-001
2026-06-12 13:41:59 | INFO     | main | Zecpath ATS API started
2026-06-12 13:42:39 | INFO     | main | Zecpath ATS API started
2026-06-12 13:46:41 | INFO     | main | Zecpath ATS API started
2026-06-12 13:46:47 | INFO     | main | Zecpath ATS API started
2026-06-12 16:21:03 | WARNING  | screening_ai.eligibility_engine | No eligibility rules found for job_id=JOB-001 — using defaults
2026-06-12 16:21:03 | INFO     | screening_ai.eligibility_engine | Eligibility evaluated — candidate_id=C001, job_id=JOB-001, status=Eligible, score=75.00
2026-06-12 16:21:03 | WARNING  | screening_ai.eligibility_engine | No eligibility rules found for job_id=JOB-001 — using defaults
2026-06-12 16:21:03 | INFO     | screening_ai.eligibility_engine | Eligibility evaluated — candidate_id=C002, job_id=JOB-001, status=Review, score=30.00
2026-06-12 16:21:03 | WARNING  | screening_ai.eligibility_engine | No eligibility rules found for job_id=JOB-001 — using defaults
2026-06-12 16:21:03 | INFO     | screening_ai.eligibility_engine | Eligibility evaluated — candidate_id=C003, job_id=JOB-001, status=Rejected, score=10.00
2026-06-12 16:21:03 | INFO     | screening_ai.eligibility_engine | Eligibility evaluated — candidate_id=C004, job_id=JOB-001, status=Rejected, score=80.00
2026-06-12 16:21:03 | INFO     | screening_ai.eligibility_engine | Eligibility evaluated — candidate_id=C005, job_id=JOB-001, status=Rejected, score=80.00
2026-06-12 16:21:03 | WARNING  | screening_ai.eligibility_engine | No eligibility rules found for job_id=JOB-001 — using defaults
2026-06-12 16:21:03 | INFO     | screening_ai.eligibility_engine | Eligibility evaluated — candidate_id=C006, job_id=JOB-001, status=Eligible, score=75.00
2026-06-12 16:21:03 | INFO     | screening_ai.eligibility_engine | Eligibility evaluated — candidate_id=C007, job_id=JOB-001, status=Rejected, score=80.00
2026-06-12 16:21:03 | WARNING  | screening_ai.eligibility_engine | No eligibility rules found for job_id=JOB-001 — using defaults
2026-06-12 16:21:03 | INFO     | screening_ai.eligibility_engine | Hard reject — must_haves_met=False — candidate_id=C009, job_id=JOB-001
2026-06-12 16:21:03 | WARNING  | screening_ai.eligibility_engine | No eligibility rules found for job_id=JOB-001 — using defaults
2026-06-12 16:21:03 | WARNING  | screening_ai.eligibility_engine | ATS score not found — candidate_id=C008, job_id=JOB-001
2026-06-12 16:21:55 | INFO     | screening_ai.eligibility_engine | Eligibility evaluated — candidate_id=C001, job_id=JOB-AUTOMOTIVE_QUALITY_ENGINEER, status=Rejected, score=11.39
2026-06-12 16:21:55 | INFO     | screening_ai.eligibility_engine | Eligibility evaluated — candidate_id=C002, job_id=JOB-AUTOMOTIVE_QUALITY_ENGINEER, status=Review, score=27.93
2026-06-12 16:21:55 | INFO     | screening_ai.eligibility_engine | Hard reject — must_haves_met=False — candidate_id=C003, job_id=JOB-AUTOMOTIVE_QUALITY_ENGINEER
2026-06-12 16:21:55 | INFO     | screening_ai.eligibility_engine | Eligibility evaluated — candidate_id=C004, job_id=JOB-AUTOMOTIVE_QUALITY_ENGINEER, status=Rejected, score=6.31
2026-06-12 16:21:55 | INFO     | screening_ai.eligibility_engine | Eligibility evaluated — candidate_id=C005, job_id=JOB-AUTOMOTIVE_QUALITY_ENGINEER, status=Rejected, score=20.25
2026-06-12 16:21:55 | INFO     | screening_ai.eligibility_engine | Eligibility evaluated — candidate_id=C006, job_id=JOB-AUTOMOTIVE_QUALITY_ENGINEER, status=Eligible, score=50.31
2026-06-12 16:21:55 | INFO     | screening_ai.eligibility_engine | Hard reject — must_haves_met=False — candidate_id=C007, job_id=JOB-AUTOMOTIVE_QUALITY_ENGINEER
2026-06-12 16:21:55 | INFO     | screening_ai.eligibility_engine | Eligibility evaluated — candidate_id=C008, job_id=JOB-AUTOMOTIVE_QUALITY_ENGINEER, status=Eligible, score=41.82
2026-06-12 16:21:55 | INFO     | screening_ai.eligibility_engine | Eligibility evaluated — candidate_id=C009, job_id=JOB-AUTOMOTIVE_QUALITY_ENGINEER, status=Eligible, score=51.66
2026-06-12 16:21:55 | INFO     | screening_ai.eligibility_engine | Hard reject — must_haves_met=False — candidate_id=C010, job_id=JOB-AUTOMOTIVE_QUALITY_ENGINEER
2026-06-12 16:21:55 | INFO     | screening_ai.eligibility_engine | Eligibility evaluated — candidate_id=C011, job_id=JOB-AUTOMOTIVE_QUALITY_ENGINEER, status=Eligible, score=53.51
2026-06-12 16:21:55 | INFO     | screening_ai.eligibility_engine | Eligibility evaluated — candidate_id=C012, job_id=JOB-AUTOMOTIVE_QUALITY_ENGINEER, status=Eligible, score=56.49
2026-06-12 16:21:55 | INFO     | screening_ai.eligibility_engine | Eligibility evaluated — candidate_id=C013, job_id=JOB-AUTOMOTIVE_QUALITY_ENGINEER, status=Eligible, score=58.19
2026-06-12 16:21:55 | INFO     | screening_ai.eligibility_engine | Eligibility evaluated — candidate_id=C014, job_id=JOB-AUTOMOTIVE_QUALITY_ENGINEER, status=Eligible, score=58.93
2026-06-12 16:21:55 | INFO     | screening_ai.eligibility_engine | Eligibility evaluated — candidate_id=C015, job_id=JOB-AUTOMOTIVE_QUALITY_ENGINEER, status=Eligible, score=41.99
2026-06-12 16:21:55 | INFO     | screening_ai.eligibility_engine | Hard reject — must_haves_met=False — candidate_id=C016, job_id=JOB-AUTOMOTIVE_QUALITY_ENGINEER
2026-06-12 16:21:55 | INFO     | screening_ai.eligibility_engine | Eligibility evaluated — candidate_id=C017, job_id=JOB-AUTOMOTIVE_QUALITY_ENGINEER, status=Review, score=37.86
2026-06-12 16:21:55 | INFO     | screening_ai.eligibility_engine | Eligibility evaluated — candidate_id=C018, job_id=JOB-AUTOMOTIVE_QUALITY_ENGINEER, status=Review, score=37.57
2026-06-12 16:21:55 | INFO     | screening_ai.eligibility_engine | Hard reject — must_haves_met=False — candidate_id=C019, job_id=JOB-AUTOMOTIVE_QUALITY_ENGINEER
2026-06-12 16:21:55 | INFO     | screening_ai.eligibility_engine | Hard reject — must_haves_met=False — candidate_id=C020, job_id=JOB-AUTOMOTIVE_QUALITY_ENGINEER
2026-06-12 16:23:04 | INFO     | tests.test_ats | ATS test logger is working
2026-06-12 16:23:04 | INFO     | tests.test_ats | Config loaded. Model: llama-3.3-70b-versatile, Threshold: 70
2026-06-12 16:23:04 | INFO     | tests.test_ats | Folder exists: parsers
2026-06-12 16:23:04 | INFO     | tests.test_ats | Folder exists: ats_engine
2026-06-12 16:23:04 | INFO     | tests.test_ats | Folder exists: screening_ai
2026-06-12 16:23:04 | INFO     | tests.test_ats | Folder exists: interview_ai
2026-06-12 16:23:04 | INFO     | tests.test_ats | Folder exists: scoring
2026-06-12 16:23:04 | INFO     | tests.test_ats | Folder exists: utils
2026-06-12 16:23:04 | INFO     | tests.test_ats | Folder exists: config
2026-06-12 16:23:05 | INFO     | scoring.ats_scorer | Starting ATS scoring for job: 'Quality Engineer'.
2026-06-12 16:23:05 | INFO     | scoring.ats_scorer | _score_skills(): matched 3/3, score=76.00.
2026-06-12 16:23:05 | INFO     | ats_engine.experience_parser | Relevance score for 'Quality Engineer': 1.00 (total months: 48).
2026-06-12 16:23:05 | INFO     | scoring.ats_scorer | _score_experience(): total=48 months, relevance=1.00, score=100.00.
2026-06-12 16:23:05 | INFO     | scoring.ats_scorer | Scoring complete — final_score=76.94, shortlisted=True, label=Moderate Match.
2026-06-12 16:23:06 | INFO     | scoring.ats_scorer | Starting ATS scoring for job: 'Quality Engineer'.
2026-06-12 16:23:06 | WARNING  | scoring.ats_scorer | Must-have filter failed: met 0/2 required (need 1). Missing: ['FMEA', 'ISO 9001']
2026-06-12 16:23:06 | WARNING  | scoring.ats_scorer | Must-have filter failed for 'Quality Engineer' — instant reject.
2026-06-12 16:23:06 | INFO     | scoring.ats_scorer | Starting ATS scoring for job: 'Quality Engineer'.
2026-06-12 16:23:06 | INFO     | scoring.ats_scorer | _score_skills(): matched 2/3, score=50.67.
2026-06-12 16:23:06 | INFO     | ats_engine.experience_parser | Relevance score for 'Quality Engineer': 1.00 (total months: 48).
2026-06-12 16:23:06 | INFO     | scoring.ats_scorer | _score_experience(): total=48 months, relevance=1.00, score=100.00.
2026-06-12 16:23:06 | INFO     | scoring.ats_scorer | Scoring complete — final_score=62.05, shortlisted=False, label=Weak Match.
2026-06-12 16:23:07 | INFO     | scoring.ats_scorer | Starting ATS scoring for job: 'Quality Engineer'.
2026-06-12 16:23:07 | INFO     | scoring.ats_scorer | _score_skills(): matched 3/3, score=76.00.
2026-06-12 16:23:07 | INFO     | ats_engine.experience_parser | Relevance score for 'Quality Engineer': 1.00 (total months: 6).
2026-06-12 16:23:07 | INFO     | scoring.ats_scorer | _score_experience(): total=6 months, relevance=1.00, score=72.00.
2026-06-12 16:23:07 | INFO     | scoring.ats_scorer | Scoring complete — final_score=67.02, shortlisted=True, label=Weak Match.
2026-06-12 16:23:07 | INFO     | scoring.ats_scorer | Starting ATS scoring for job: 'Quality Engineer'.
2026-06-12 16:23:07 | INFO     | scoring.ats_scorer | _score_skills(): matched 3/3, score=76.00.
2026-06-12 16:23:07 | INFO     | ats_engine.experience_parser | Relevance score for 'Quality Engineer': 1.00 (total months: 60).
2026-06-12 16:23:07 | INFO     | scoring.ats_scorer | _score_experience(): total=60 months, relevance=1.00, score=100.00.
2026-06-12 16:23:07 | INFO     | scoring.ats_scorer | Scoring complete — final_score=75.12, shortlisted=True, label=Moderate Match.
2026-06-12 16:23:08 | INFO     | scoring.ats_scorer | Starting ATS scoring for job: 'Quality Engineer'.
2026-06-12 16:23:08 | INFO     | scoring.ats_scorer | _score_skills(): matched 3/3, score=76.00.
2026-06-12 16:23:08 | INFO     | ats_engine.experience_parser | Relevance score for 'Quality Engineer': 1.00 (total months: 48).
2026-06-12 16:23:08 | INFO     | scoring.ats_scorer | _score_experience(): total=48 months, relevance=1.00, score=100.00.
2026-06-12 16:23:08 | INFO     | parsers.education_parser | Certification relevance: score=0.00, relevant=0/3.
2026-06-12 16:23:08 | INFO     | parsers.education_parser | Certification relevance: score=0.00, relevant=0/3.
2026-06-12 16:23:08 | INFO     | scoring.ats_scorer | _score_certifications(): total=3, relevant=0, score=10.00.
2026-06-12 16:23:08 | INFO     | scoring.ats_scorer | Scoring complete — final_score=67.09, shortlisted=True, label=Weak Match.
2026-06-12 16:23:09 | INFO     | scoring.ats_scorer | Starting ATS scoring for job: 'Quality Engineer'.
2026-06-12 16:23:09 | INFO     | scoring.ats_scorer | _score_skills(): matched 3/3, score=76.00.
2026-06-12 16:23:09 | INFO     | ats_engine.experience_parser | Relevance score for 'Quality Engineer': 1.00 (total months: 48).
2026-06-12 16:23:09 | INFO     | scoring.ats_scorer | _score_experience(): total=48 months, relevance=1.00, score=100.00.
2026-06-12 16:23:09 | INFO     | scoring.ats_scorer | Scoring complete — final_score=75.12, shortlisted=True, label=Moderate Match.
2026-06-12 16:23:09 | INFO     | parsers.education_parser | Education text extracted (85 chars).
2026-06-12 16:23:09 | INFO     | parsers.education_parser | Education text extracted (85 chars).
2026-06-12 16:23:09 | INFO     | parsers.education_parser | Rule-based education parse found 1 entries.
2026-06-12 16:23:09 | INFO     | parsers.education_parser | Rule-based education parse found 1 entries.
2026-06-12 16:23:09 | INFO     | parsers.education_parser | parse_education() returning 1 entries.
2026-06-12 16:23:09 | INFO     | parsers.education_parser | parse_education() returning 1 entries.
2026-06-12 16:23:09 | INFO     | parsers.education_parser | Education text extracted (85 chars).
2026-06-12 16:23:09 | INFO     | parsers.education_parser | Education text extracted (85 chars).
2026-06-12 16:23:09 | INFO     | parsers.education_parser | Rule-based education parse found 1 entries.
2026-06-12 16:23:09 | INFO     | parsers.education_parser | Rule-based education parse found 1 entries.
2026-06-12 16:23:09 | INFO     | parsers.education_parser | parse_education() returning 1 entries.
2026-06-12 16:23:09 | INFO     | parsers.education_parser | parse_education() returning 1 entries.
2026-06-12 16:23:10 | INFO     | parsers.education_parser | Education text extracted (85 chars).
2026-06-12 16:23:10 | INFO     | parsers.education_parser | Education text extracted (85 chars).
2026-06-12 16:23:10 | INFO     | parsers.education_parser | Rule-based education parse found 1 entries.
2026-06-12 16:23:10 | INFO     | parsers.education_parser | Rule-based education parse found 1 entries.
2026-06-12 16:23:10 | INFO     | parsers.education_parser | parse_education() returning 1 entries.
2026-06-12 16:23:10 | INFO     | parsers.education_parser | parse_education() returning 1 entries.
2026-06-12 16:23:10 | INFO     | parsers.education_parser | Certification combined text length: 121 chars.
2026-06-12 16:23:10 | INFO     | parsers.education_parser | Certification combined text length: 121 chars.
2026-06-12 16:23:10 | INFO     | parsers.education_parser | Rule-based certification parse found 3 entries.
2026-06-12 16:23:10 | INFO     | parsers.education_parser | Rule-based certification parse found 3 entries.
2026-06-12 16:23:10 | INFO     | parsers.education_parser | parse_certifications() returning 3 entries.
2026-06-12 16:23:10 | INFO     | parsers.education_parser | parse_certifications() returning 3 entries.
2026-06-12 16:23:10 | INFO     | parsers.education_parser | Certification combined text length: 91 chars.
2026-06-12 16:23:10 | INFO     | parsers.education_parser | Certification combined text length: 91 chars.
2026-06-12 16:23:10 | INFO     | parsers.education_parser | Rule-based certification parse found 5 entries.
2026-06-12 16:23:10 | INFO     | parsers.education_parser | Rule-based certification parse found 5 entries.
2026-06-12 16:23:10 | INFO     | parsers.education_parser | parse_certifications() returning 5 entries.
2026-06-12 16:23:10 | INFO     | parsers.education_parser | parse_certifications() returning 5 entries.
2026-06-12 16:23:11 | INFO     | parsers.education_parser | Certification combined text length: 121 chars.
2026-06-12 16:23:11 | INFO     | parsers.education_parser | Certification combined text length: 121 chars.
2026-06-12 16:23:11 | INFO     | parsers.education_parser | Rule-based certification parse found 3 entries.
2026-06-12 16:23:11 | INFO     | parsers.education_parser | Rule-based certification parse found 3 entries.
2026-06-12 16:23:11 | INFO     | parsers.education_parser | parse_certifications() returning 3 entries.
2026-06-12 16:23:11 | INFO     | parsers.education_parser | parse_certifications() returning 3 entries.
2026-06-12 16:23:11 | INFO     | parsers.education_parser | Education relevance: score=1.00, level=bachelors, field_matched=True.
2026-06-12 16:23:11 | INFO     | parsers.education_parser | Education relevance: score=1.00, level=bachelors, field_matched=True.
2026-06-12 16:23:11 | INFO     | parsers.education_parser | Education text extracted (85 chars).
2026-06-12 16:23:11 | INFO     | parsers.education_parser | Education text extracted (85 chars).
2026-06-12 16:23:11 | INFO     | parsers.education_parser | Rule-based education parse found 1 entries.
2026-06-12 16:23:11 | INFO     | parsers.education_parser | Rule-based education parse found 1 entries.
2026-06-12 16:23:11 | INFO     | parsers.education_parser | parse_education() returning 1 entries.
2026-06-12 16:23:11 | INFO     | parsers.education_parser | parse_education() returning 1 entries.
2026-06-12 16:23:11 | INFO     | parsers.education_parser | Certification combined text length: 121 chars.
2026-06-12 16:23:11 | INFO     | parsers.education_parser | Certification combined text length: 121 chars.
2026-06-12 16:23:11 | INFO     | parsers.education_parser | Rule-based certification parse found 3 entries.
2026-06-12 16:23:11 | INFO     | parsers.education_parser | Rule-based certification parse found 3 entries.
2026-06-12 16:23:11 | INFO     | parsers.education_parser | parse_certifications() returning 3 entries.
2026-06-12 16:23:11 | INFO     | parsers.education_parser | parse_certifications() returning 3 entries.
2026-06-12 16:23:11 | WARNING  | parsers.education_parser | EducationObject validation failed for 'B.Tech': 1 validation error for EducationObject
start_year
  Input should be a valid integer [type=int_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.13/v/int_type — skipping.
2026-06-12 16:23:11 | WARNING  | parsers.education_parser | EducationObject validation failed for 'B.Tech': 1 validation error for EducationObject
start_year
  Input should be a valid integer [type=int_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.13/v/int_type — skipping.
2026-06-12 16:23:11 | WARNING  | parsers.education_parser | CertificationObject validation failed for 'Six Sigma Green Belt': 3 validation errors for CertificationObject
issuing_organization
  Field required [type=missing, input_value={'name': 'Six Sigma Green... None, 'is_valid': True}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
issue_date
  Field required [type=missing, input_value={'name': 'Six Sigma Green... None, 'is_valid': True}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
is_expired
  Field required [type=missing, input_value={'name': 'Six Sigma Green... None, 'is_valid': True}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing — skipping.
2026-06-12 16:23:11 | WARNING  | parsers.education_parser | CertificationObject validation failed for 'Six Sigma Green Belt': 3 validation errors for CertificationObject
issuing_organization
  Field required [type=missing, input_value={'name': 'Six Sigma Green... None, 'is_valid': True}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
issue_date
  Field required [type=missing, input_value={'name': 'Six Sigma Green... None, 'is_valid': True}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
is_expired
  Field required [type=missing, input_value={'name': 'Six Sigma Green... None, 'is_valid': True}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing — skipping.
