2026-06-02 20:49:41 | INFO     | worker.task_handlers | Parsed profile stored in Redis — key=parsed_profile:C001:R-C001-6D39BF45, ttl=86400s
2026-06-02 20:49:45 | INFO     | routers.jobs | Job status polled — job_id=90443f56-ec33-4a63-b895-c4c4b947d30f, status=finished
2026-06-02 20:49:45 | INFO     | __main__ | Job finished. rq_job_id=90443f56-ec33-4a63-b895-c4c4b947d30f
2026-06-02 20:49:48 | INFO     | scoring.ats_scorer | Starting ATS scoring for job: 'Automotive Quality Engineer'.
2026-06-02 20:49:48 | INFO     | scoring.ats_scorer | _score_skills(): matched 1/9, score=7.56.
2026-06-02 20:49:48 | INFO     | parsers.education_parser | Education relevance: score=0.32, level=any, field_matched=False.
2026-06-02 20:49:48 | INFO     | parsers.education_parser | Education relevance: score=0.32, level=any, field_matched=False.
2026-06-02 20:49:48 | INFO     | scoring.ats_scorer | _score_education(): level=any, field_matched=False, score=32.00.
2026-06-02 20:49:48 | INFO     | scoring.ats_scorer | Scoring complete — final_score=8.75, shortlisted=False, label=Rejected.
2026-06-02 20:49:48 | INFO     | routers.ats | Scoring completed — candidate_id=C001, final_score=8.75
2026-06-02 20:49:48 | INFO     | __main__ | Score received. candidate_id=C001 job_id=JOB-AUTOMOTIVE_QUALITY_ENGINEER
2026-06-02 20:49:48 | INFO     | __main__ | Running pipeline. candidate_id=C002
2026-06-02 20:49:50 | INFO     | routers.resume | Resume uploaded — resume_id=R-C002-ABDB760F, candidate_id=C002, path=data\uploads\C002_R-C002-ABDB760F.pdf
2026-06-02 20:49:50 | INFO     | __main__ | Resume uploaded. candidate_id=C002 resume_id=R-C002-ABDB760F
2026-06-02 20:49:52 | INFO     | routers.resume | Parse job enqueued — rq_job_id=65c62325-8fd3-4014-afad-ad3d8ccb76a4, candidate_id=C002
2026-06-02 20:49:52 | INFO     | __main__ | Parse triggered. candidate_id=C002 rq_job_id=65c62325-8fd3-4014-afad-ad3d8ccb76a4
2026-06-02 20:49:52 | INFO     | worker.task_handlers | Parse pipeline started — candidate_id=C002, resume_id=R-C002-ABDB760F
2026-06-02 20:49:52 | INFO     | parsers | Starting resume extraction pipeline for: data\uploads\C002_R-C002-ABDB760F.pdf
2026-06-02 20:49:52 | INFO     | parsers | Detected file type: .pdf | Selecting reader...
2026-06-02 20:49:52 | INFO     | parsers | Using PDFReader
2026-06-02 20:49:52 | INFO     | parsers.pdf_reader | PDF extraction successful: C002_R-C002-ABDB760F.pdf | Pages extracted: 2
2026-06-02 20:49:52 | INFO     | parsers.pdf_reader | PDF extraction successful: C002_R-C002-ABDB760F.pdf | Pages extracted: 2
2026-06-02 20:49:52 | INFO     | parsers | Raw text extracted | Length: 10369 chars
2026-06-02 20:49:52 | INFO     | parsers | Passing raw text to TextCleaner...
2026-06-02 20:49:52 | INFO     | parsers.text_cleaner | Starting text cleaning | Input length: 10369 chars
2026-06-02 20:49:52 | INFO     | parsers.text_cleaner | Starting text cleaning | Input length: 10369 chars
2026-06-02 20:49:52 | INFO     | parsers.text_cleaner | Step 1 complete: Special characters removed
2026-06-02 20:49:52 | INFO     | parsers.text_cleaner | Step 1 complete: Special characters removed
2026-06-02 20:49:52 | INFO     | parsers.text_cleaner | Step 2 complete: Bullet points normalized
2026-06-02 20:49:52 | INFO     | parsers.text_cleaner | Step 2 complete: Bullet points normalized
2026-06-02 20:49:52 | INFO     | parsers.text_cleaner | Step 3 complete: Whitespace normalized
2026-06-02 20:49:52 | INFO     | parsers.text_cleaner | Step 3 complete: Whitespace normalized
2026-06-02 20:49:52 | INFO     | parsers.text_cleaner | Step 4 complete: Section headings normalized
2026-06-02 20:49:52 | INFO     | parsers.text_cleaner | Step 4 complete: Section headings normalized
2026-06-02 20:49:52 | INFO     | parsers.text_cleaner | Step 5 complete: Broken words fixed
2026-06-02 20:49:52 | INFO     | parsers.text_cleaner | Step 5 complete: Broken words fixed
2026-06-02 20:49:52 | INFO     | parsers.text_cleaner | Step 6 complete: Noise removed
2026-06-02 20:49:52 | INFO     | parsers.text_cleaner | Step 6 complete: Noise removed
2026-06-02 20:49:52 | INFO     | parsers.text_cleaner | Text cleaning complete | Before: 10369 chars | After: 2121 chars | Reduced by: 8248 chars
2026-06-02 20:49:52 | INFO     | parsers.text_cleaner | Text cleaning complete | Before: 10369 chars | After: 2121 chars | Reduced by: 8248 chars
2026-06-02 20:49:52 | INFO     | parsers | Text cleaning complete | Final length: 2121 chars
2026-06-02 20:49:52 | INFO     | parsers | Resume extraction pipeline complete.
2026-06-02 20:49:52 | INFO     | parsers.section_classifier | classify() complete. Sections detected: ['summary', 'skills', 'experience', 'education', 'projects', 'achievements']
2026-06-02 20:49:52 | INFO     | parsers.section_classifier | classify() complete. Sections detected: ['summary', 'skills', 'experience', 'education', 'projects', 'achievements']
2026-06-02 20:49:52 | INFO     | parsers.section_tagger | Tagging sections for candidate 'C002'. Raw sections: ['header', 'other', 'summary', 'skills', 'experience', 'education', 'projects', 'achievements']
2026-06-02 20:49:52 | INFO     | parsers.section_tagger | Tagging sections for candidate 'C002'. Raw sections: ['header', 'other', 'summary', 'skills', 'experience', 'education', 'projects', 'achievements']
2026-06-02 20:49:52 | INFO     | parsers.section_tagger | Tagging complete for 'C002'. Sections found: 6, Total lines processed: 51
2026-06-02 20:49:52 | INFO     | parsers.section_tagger | Tagging complete for 'C002'. Sections found: 6, Total lines processed: 51
2026-06-02 20:49:52 | INFO     | ats_engine.skill_extractor | Starting skill extraction (top_n=20).
2026-06-02 20:49:52 | INFO     | ats_engine.skill_extractor | Raw detected skills (6): ['Excel', 'Statistical Process Control', 'Failure Mode and Effects Analysis', '5S', 'Control Plans', 'Audit']
2026-06-02 20:49:53 | INFO     | ats_engine.skill_extractor | After stack expansion (6): ['Excel', 'Statistical Process Control', 'Failure Mode and Effects Analysis', '5S', 'Control Plans', 'Audit']
2026-06-02 20:49:53 | INFO     | ats_engine.skill_extractor | After deduplication (6): ['Excel', 'Statistical Process Control', 'Failure Mode and Effects Analysis', '5S', 'Control Plans', 'Audit']
2026-06-02 20:49:53 | INFO     | ats_engine.skill_extractor | Extraction complete. Returning 6 skills (of 6 detected).
2026-06-02 20:49:53 | INFO     | ats_engine.experience_parser | Experience text extracted (659 chars).
2026-06-02 20:49:53 | INFO     | ats_engine.experience_parser | Rule-based parse found 0 entries.
2026-06-02 20:49:53 | INFO     | ats_engine.experience_parser | Calling LLM parser.
2026-06-02 20:49:53 | INFO     | ats_engine.experience_parser | Calling Groq LLM for experience extraction.
2026-06-02 20:49:54 | INFO     | ats_engine.experience_parser | LLM returned 1 experience entries.
2026-06-02 20:49:54 | INFO     | ats_engine.experience_parser | parse() returning 1 experience entries.
2026-06-02 20:49:54 | INFO     | parsers.education_parser | Education text extracted (118 chars).
2026-06-02 20:49:54 | INFO     | parsers.education_parser | Education text extracted (118 chars).
2026-06-02 20:49:54 | INFO     | parsers.education_parser | Rule-based education parse found 1 entries.
2026-06-02 20:49:54 | INFO     | parsers.education_parser | Rule-based education parse found 1 entries.
2026-06-02 20:49:54 | INFO     | parsers.education_parser | Calling LLM for education extraction.
2026-06-02 20:49:54 | INFO     | parsers.education_parser | Calling LLM for education extraction.
2026-06-02 20:49:54 | INFO     | parsers.education_parser | Calling Groq LLM for education extraction.
2026-06-02 20:49:54 | INFO     | parsers.education_parser | Calling Groq LLM for education extraction.
2026-06-02 20:49:54 | INFO     | routers.jobs | Job status polled — job_id=65c62325-8fd3-4014-afad-ad3d8ccb76a4, status=started
2026-06-02 20:49:55 | INFO     | parsers.education_parser | LLM returned 1 education entries.
2026-06-02 20:49:55 | INFO     | parsers.education_parser | LLM returned 1 education entries.
2026-06-02 20:49:55 | INFO     | parsers.education_parser | parse_education() returning 1 entries.
2026-06-02 20:49:55 | INFO     | parsers.education_parser | parse_education() returning 1 entries.
2026-06-02 20:49:55 | INFO     | worker.task_handlers | Parse pipeline completed — candidate_id=C002, sections_found=['candidate_id', 'total_sections_found', 'sections', 'unclassified_content', 'tagging_metadata']
2026-06-02 20:49:55 | INFO     | worker.task_handlers | Parsed profile stored in Redis — key=parsed_profile:C002:R-C002-ABDB760F, ttl=86400s
2026-06-02 20:49:59 | INFO     | routers.jobs | Job status polled — job_id=65c62325-8fd3-4014-afad-ad3d8ccb76a4, status=finished
2026-06-02 20:49:59 | INFO     | __main__ | Job finished. rq_job_id=65c62325-8fd3-4014-afad-ad3d8ccb76a4
2026-06-02 20:50:02 | INFO     | scoring.ats_scorer | Starting ATS scoring for job: 'Automotive Quality Engineer'.
2026-06-02 20:50:02 | INFO     | scoring.ats_scorer | _score_skills(): matched 2/9, score=15.33.
2026-06-02 20:50:02 | INFO     | ats_engine.experience_parser | Relevance score for 'Automotive Quality Engineer': 0.20 (total months: 5).
2026-06-02 20:50:02 | INFO     | scoring.ats_scorer | _score_experience(): total=5 months, relevance=0.20, score=52.00.
2026-06-02 20:50:02 | INFO     | parsers.education_parser | Education relevance: score=0.32, level=any, field_matched=False.
2026-06-02 20:50:02 | INFO     | parsers.education_parser | Education relevance: score=0.32, level=any, field_matched=False.
2026-06-02 20:50:02 | INFO     | scoring.ats_scorer | _score_education(): level=any, field_matched=False, score=32.00.
2026-06-02 20:50:02 | INFO     | scoring.ats_scorer | Scoring complete — final_score=25.28, shortlisted=False, label=Rejected.
2026-06-02 20:50:02 | INFO     | routers.ats | Scoring completed — candidate_id=C002, final_score=25.28
2026-06-02 20:50:02 | INFO     | __main__ | Score received. candidate_id=C002 job_id=JOB-AUTOMOTIVE_QUALITY_ENGINEER
2026-06-02 20:50:02 | INFO     | __main__ | Running pipeline. candidate_id=C003
2026-06-02 20:50:04 | INFO     | routers.resume | Resume uploaded — resume_id=R-C003-84B649D5, candidate_id=C003, path=data\uploads\C003_R-C003-84B649D5.pdf
2026-06-02 20:50:04 | INFO     | __main__ | Resume uploaded. candidate_id=C003 resume_id=R-C003-84B649D5
2026-06-02 20:50:06 | INFO     | routers.resume | Parse job enqueued — rq_job_id=fb07145d-bf8b-4cab-ad45-b6eeb8c9fed1, candidate_id=C003
2026-06-02 20:50:06 | INFO     | __main__ | Parse triggered. candidate_id=C003 rq_job_id=fb07145d-bf8b-4cab-ad45-b6eeb8c9fed1
2026-06-02 20:50:06 | INFO     | worker.task_handlers | Parse pipeline started — candidate_id=C003, resume_id=R-C003-84B649D5
2026-06-02 20:50:06 | INFO     | parsers | Starting resume extraction pipeline for: data\uploads\C003_R-C003-84B649D5.pdf
2026-06-02 20:50:06 | INFO     | parsers | Detected file type: .pdf | Selecting reader...
2026-06-02 20:50:06 | INFO     | parsers | Using PDFReader
2026-06-02 20:50:06 | INFO     | parsers.pdf_reader | PDF extraction successful: C003_R-C003-84B649D5.pdf | Pages extracted: 1
2026-06-02 20:50:06 | INFO     | parsers.pdf_reader | PDF extraction successful: C003_R-C003-84B649D5.pdf | Pages extracted: 1
2026-06-02 20:50:06 | INFO     | parsers | Raw text extracted | Length: 5148 chars
2026-06-02 20:50:06 | INFO     | parsers | Passing raw text to TextCleaner...
2026-06-02 20:50:06 | INFO     | parsers.text_cleaner | Starting text cleaning | Input length: 5148 chars
2026-06-02 20:50:06 | INFO     | parsers.text_cleaner | Starting text cleaning | Input length: 5148 chars
2026-06-02 20:50:06 | INFO     | parsers.text_cleaner | Step 1 complete: Special characters removed
2026-06-02 20:50:06 | INFO     | parsers.text_cleaner | Step 1 complete: Special characters removed
2026-06-02 20:50:06 | INFO     | parsers.text_cleaner | Step 2 complete: Bullet points normalized
2026-06-02 20:50:06 | INFO     | parsers.text_cleaner | Step 2 complete: Bullet points normalized
2026-06-02 20:50:06 | INFO     | parsers.text_cleaner | Step 3 complete: Whitespace normalized
2026-06-02 20:50:06 | INFO     | parsers.text_cleaner | Step 3 complete: Whitespace normalized
2026-06-02 20:50:06 | INFO     | parsers.text_cleaner | Step 4 complete: Section headings normalized
2026-06-02 20:50:06 | INFO     | parsers.text_cleaner | Step 4 complete: Section headings normalized
2026-06-02 20:50:06 | INFO     | parsers.text_cleaner | Step 5 complete: Broken words fixed
2026-06-02 20:50:06 | INFO     | parsers.text_cleaner | Step 5 complete: Broken words fixed
2026-06-02 20:50:06 | INFO     | parsers.text_cleaner | Step 6 complete: Noise removed
2026-06-02 20:50:06 | INFO     | parsers.text_cleaner | Step 6 complete: Noise removed
2026-06-02 20:50:06 | INFO     | parsers.text_cleaner | Text cleaning complete | Before: 5148 chars | After: 994 chars | Reduced by: 4154 chars
2026-06-02 20:50:06 | INFO     | parsers.text_cleaner | Text cleaning complete | Before: 5148 chars | After: 994 chars | Reduced by: 4154 chars
2026-06-02 20:50:06 | INFO     | parsers | Text cleaning complete | Final length: 994 chars
2026-06-02 20:50:06 | INFO     | parsers | Resume extraction pipeline complete.
2026-06-02 20:50:06 | INFO     | parsers.section_classifier | classify() complete. Sections detected: ['summary', 'skills', 'experience', 'education', 'projects']
2026-06-02 20:50:06 | INFO     | parsers.section_classifier | classify() complete. Sections detected: ['summary', 'skills', 'experience', 'education', 'projects']
2026-06-02 20:50:06 | INFO     | parsers.section_tagger | Tagging sections for candidate 'C003'. Raw sections: ['header', 'other', 'summary', 'skills', 'experience', 'education', 'projects']
2026-06-02 20:50:06 | INFO     | parsers.section_tagger | Tagging sections for candidate 'C003'. Raw sections: ['header', 'other', 'summary', 'skills', 'experience', 'education', 'projects']
2026-06-02 20:50:06 | INFO     | parsers.section_tagger | Tagging complete for 'C003'. Sections found: 5, Total lines processed: 26
2026-06-02 20:50:06 | INFO     | parsers.section_tagger | Tagging complete for 'C003'. Sections found: 5, Total lines processed: 26
2026-06-02 20:50:06 | INFO     | ats_engine.skill_extractor | Starting skill extraction (top_n=20).
2026-06-02 20:50:06 | INFO     | ats_engine.skill_extractor | Raw detected skills (3): ['Failure Mode and Effects Analysis', 'Root Cause Analysis', '5S']
2026-06-02 20:50:06 | INFO     | ats_engine.skill_extractor | After stack expansion (3): ['Failure Mode and Effects Analysis', 'Root Cause Analysis', '5S']
2026-06-02 20:50:06 | INFO     | ats_engine.skill_extractor | After deduplication (3): ['Failure Mode and Effects Analysis', 'Root Cause Analysis', '5S']
2026-06-02 20:50:06 | INFO     | ats_engine.skill_extractor | Extraction complete. Returning 3 skills (of 3 detected).
2026-06-02 20:50:07 | INFO     | ats_engine.experience_parser | Experience text extracted (292 chars).
2026-06-02 20:50:07 | INFO     | ats_engine.experience_parser | Rule-based parse found 0 entries.
2026-06-02 20:50:07 | INFO     | ats_engine.experience_parser | Calling LLM parser.
2026-06-02 20:50:07 | INFO     | ats_engine.experience_parser | Calling Groq LLM for experience extraction.
2026-06-02 20:50:08 | INFO     | ats_engine.experience_parser | LLM returned 2 experience entries.
2026-06-02 20:50:08 | INFO     | ats_engine.experience_parser | parse() returning 2 experience entries.
2026-06-02 20:50:08 | INFO     | routers.jobs | Job status polled — job_id=fb07145d-bf8b-4cab-ad45-b6eeb8c9fed1, status=started
2026-06-02 20:50:08 | WARNING  | parsers.education_parser | No 'education' section found. Returning [].
2026-06-02 20:50:08 | WARNING  | parsers.education_parser | No 'education' section found. Returning [].
2026-06-02 20:50:08 | INFO     | worker.task_handlers | Parse pipeline completed — candidate_id=C003, sections_found=['candidate_id', 'total_sections_found', 'sections', 'unclassified_content', 'tagging_metadata']
2026-06-02 20:50:08 | INFO     | worker.task_handlers | Parsed profile stored in Redis — key=parsed_profile:C003:R-C003-84B649D5, ttl=86400s
2026-06-02 20:50:13 | INFO     | routers.jobs | Job status polled — job_id=fb07145d-bf8b-4cab-ad45-b6eeb8c9fed1, status=finished
2026-06-02 20:50:13 | INFO     | __main__ | Job finished. rq_job_id=fb07145d-bf8b-4cab-ad45-b6eeb8c9fed1
2026-06-02 20:50:16 | INFO     | scoring.ats_scorer | Starting ATS scoring for job: 'Automotive Quality Engineer'.
2026-06-02 20:50:16 | WARNING  | scoring.ats_scorer | Must-have skills missing: ['APQP', 'PPAP', 'Control Plans']
2026-06-02 20:50:16 | WARNING  | scoring.ats_scorer | Must-have filter failed for 'Automotive Quality Engineer' — instant reject.
2026-06-02 20:50:16 | INFO     | routers.ats | Scoring completed — candidate_id=C003, final_score=0.00
2026-06-02 20:50:16 | INFO     | __main__ | Score received. candidate_id=C003 job_id=JOB-AUTOMOTIVE_QUALITY_ENGINEER
2026-06-02 20:50:16 | INFO     | __main__ | Running pipeline. candidate_id=C004
